seq_rt,ran_rt,,,,
4.1433434,0.4888386,,,,
2.3903287,0.4012318,,mean of seq_rt,,0.511699805
3.571222,0.3704417,,mean of ran_rt,,0.627135806
2.2180439,0.8332979,,,,
2.8266792,0.8125117,,mean difference,,-0.115436001
0.8086004,0.4913869,,,,
0.7826371,0.5965884,,,,
0.4276019,0.5808549,,,,
0.5395166,0.628265,,,,
0.3216221,0.640507,,,,
0.6786158,0.5925671,,,,
0.6440893,0.4922444,,,,
0.5920402,0.7345689,,,,
0.4437149,0.5979905,,,,
0.4719259,0.5340021,,,,
0.6167896,0.650659,,,,
0.2809534,0.7020374,,,,
0.523107,0.5062631,,,,
0.4595827,0.6930432,,,,
0.6810704,0.4980075,,,,
0.3005234,0.5965463,,,,
0.681887,0.5137229,,,,
0.3889221,0.5656469,,,,
0.7776536,0.5420563,,,,
0.4338577,0.6318995,,,,
0.3763731,0.3429298,,,,
0.5599176,0.6678722,,,,
0.6358055,0.6067754,,,,
0.531133,0.7521422,,,,
0.5178702,0.4687935,,,,
0.5929403,0.5766653,,,,
0.6756227,0.5238886,,,,
0.4455827,0.788426,,,,
0.5261705,0.5835867,,,,
0.4365724,0.4962739,,,,
0.4714699,0.5082011,,,,
0.3760078,0.4746419,,,,
0.5210309,0.9928081,,,,
0.5700245,0.5630296,,,,
0.9283004,0.5384215,,,,
0.5010903,0.6543159,,,,
0.4412914,0.6525348,,,,
0.3729562,0.6016046,,,,
0.4384486,0.6375644,,,,
0.5826421,0.6265886,,,,
0.4720703,0.567971,,,,
0.5298198,0.4565337,,,,
0.414714,0.5824808,,,,
0.3325112,0.5794972,,,,
0.5255352,0.3708588,,,,
0.4688654,0.8773917,,,,
0.5576568,0.6355257,,,,
0.4457196,0.6782454,,,,
0.5813639,0.8192569,,,,
0.560968,0.9699232,,,,
0.3546898,0.8052469,,,,
0.5666765,1.111149,,,,
0.8532871,0.8372216,,,,
0.6142667,0.6478883,,,,
0.5407011,0.4920538,,,,
0.4903009,0.7438939,,,,
0.4475088,0.6196503,,,,
0.5478214,0.442008,,,,
0.3946054,0.6950644,,,,
0.586012,0.5649867,,,,
0.4401222,0.4571574,,,,
0.473202,0.6982711,,,,
0.5095108,0.8263509,,,,
0.594559,0.4412069,,,,
0.480817,0.5682214,,,,
0.475086,0.5081118,,,,
0.5904587,0.4897449,,,,
0.4476201,0.3800567,,,,
0.5750202,0.5898255,,,,
0.3704409,0.6014252,,,,
0.4474944,0.6667354,,,,
0.5258347,0.5656571,,,,
0.594305,0.5984542,,,,
1.0357487,0.4901891,,,,
0.5599645,0.5135467,,,,
0.453443,0.8079153,,,,
0.335374,0.6205688,,,,
0.3375775,0.7077845,,,,
0.296229,0.5207558,,,,
0.5131582,0.616865,,,,
0.2975586,0.5644866,,,,
0.283344,0.5686288,,,,
0.2607917,0.550582,,,,
0.5114801,0.5212559,,,,
0.6450354,0.4780959,,,,
0.3592985,0.3841222,,,,
0.2753511,0.5841912,,,,
0.3575986,0.6133032,,,,
0.2937417,0.9277959,,,,
0.445595,0.7687621,,,,
0.3278823,0.7361823,,,,
0.4201419,0.6633373,,,,
0.5524688,0.7237133,,,,
0.3510761,0.761417,,,,
0.4910467,0.5931295,,,,
0.2828989,0.5320862,,,,
0.5994864,0.6420241,,,,
0.3022365,0.5926757,,,,
0.2708135,0.6751539,,,,
0.2728305,0.642156,,,,
0.6897306,0.9868096,,,,
0.3008937,0.4865993,,,,
0.2816765,0.5554377,,,,
0.375193,0.6182137,,,,
0.5093066,0.686747,,,,
0.4176365,0.3614839,,,,
0.2970869,0.7101959,,,,
0.5074639,0.5690482,,,,
0.2874506,0.5507013,,,,
0.392502,0.494922,,,,
0.3103858,0.5034456,,,,
0.4258741,0.5372489,,,,
0.6387613,0.6428395,,,,
0.4511019,0.6637583,,,,
0.4054974,0.4881742,,,,
0.379629,0.4877834,,,,
0.6101133,0.7429169,,,,
0.3256859,0.6886361,,,,
0.2965505,0.5237064,,,,
0.316704,0.5230718,,,,
0.7570376,0.7264343,,,,
0.3509366,0.4438704,,,,
0.2871904,0.4313328,,,,
0.2725059,0.5766239,,,,
0.1785003,0.5402205,,,,
0.0232282,0.507089,,,,
0.3348901,0.66518,,,,
0.3022785,0.6335764,,,,
0.2288896,0.6619322,,,,
0.3690584,0.7069883,,,,
0.3434442,0.7693295,,,,
0.7060573,0.6488878,,,,
0.3121839,0.6217044,,,,
0.3289483,0.7318913,,,,
0.32398,0.5484491,,,,
0.3090535,0.7681588,,,,
0.3805137,0.8806769,,,,
0.294779,0.5027926,,,,
0.2594063,0.8483153,,,,
0.5552989,0.595575,,,,
0.2690643,0.6889635,,,,
0.3414732,0.5014712,,,,
0.5137707,0.7624599,,,,
0.2723479,0.5419601,,,,
0.3933006,0.5748794,,,,
0.4492763,0.900944,,,,
0.2597278,0.5957118,,,,
0.6152064,0.4044385,,,,
0.7975381,0.4781175,,,,
0.8435442,0.8856573,,,,
0.3113831,0.4660818,,,,
1.3982885,0.6372601,,,,
0.464546,0.507675,,,,
0.2954406,0.4904868,,,,
0.3014707,0.5325163,,,,
0.4651403,0.4993008,,,,
0.3396944,0.5697126,,,,
0.3487751,0.565135,,,,
0.391984,0.6217327,,,,
0.2850009,0.6508764,,,,
0.3037318,1.7428715,,,,
0.2992251,0.6718161,,,,
0.2288538,1.045869,,,,
0.2449882,0.5530705,,,,
0.5837688,0.4921202,,,,
0.301045,0.4284385,,,,
0.4071904,0.9633014,,,,
0.3708326,0.7858608,,,,
0.3116158,0.6062905,,,,
0.4396863,0.7117185,,,,
0.4606515,0.4231422,,,,
0.3133588,0.505549,,,,
0.3194358,0.6175134,,,,
0.3661512,0.3813964,,,,
0.2615101,0.5181401,,,,
0.3132206,0.376611,,,,
0.3222039,0.7032839,,,,
0.3114444,0.7425939,,,,
0.5270526,0.6345075,,,,
0.2348217,1.2690851,,,,
0.432797,0.657781,,,,
0.3428447,1.5514827,,,,
0.6963743,0.581705,,,,
0.3826087,0.5398349,,,,
0.5274297,0.5240362,,,,
0.5159486,0.5133672,,,,
0.5800233,0.8347876,,,,
0.355074,0.7829366,,,,
0.4813169,0.5724786,,,,
0.2772508,0.5517157,,,,
0.3020351,0.4617564,,,,
0.2630758,0.8535102,,,,
0.2972822,,,,,
